0	@USER She should ask a few native Americans what their take on this is.
1	@USER @USER Go home you’re drunk!!! @USER #MAGA #Trump2020 👊🇺🇸👊 URL
0	@USER Someone should'veTaken' this piece of shit to a volcano. 😂'
1	@USER Liberals are all Kookoo !!!
0	@USER @USER Oh noes! Tough shit.
1	@USER was literally just talking about this lol all mass shootings like that have been set ups. it’s propaganda used to divide us on major issues like gun control and terrorism
1	@USER Canada doesn’t need another CUCK! We already have enough #LooneyLeft #Liberals f**king up our great country! #Qproofs #TrudeauMustGo
1	@USER you are a lying corrupt traitor!!! Nobody wants to hear anymore of your lies!!! #DeepStateCorruption URL
1	@USER @USER @USER gun control! That is all these kids are asking for!
1	@USER @USER @USER @USER LOL!!!   Throwing the BULLSHIT Flag on such nonsense!!  #PutUpOrShutUp   #Kavanaugh   #MAGA   #CallTheVoteAlready URL
1	@USER @USER Kind of like when conservatives wanna associate everyone to their left as communist antifa members?
1	@USER @USER Da fuck is going on people?   There's the men's room and the women's room  Pick one and stick w it 🤔
1	@USER Tbh these days i just don't like people in general i just don't connect with people these days just a annoyance..
0	@USER @USER @USER She?  To whom are you referring to?  Hillary?  You know what is tiresome?  Bernie supporters bashing Hillary Clinton.  She is an actual Democrat who raises money for the Democratic Party and doesn’t bash them.  She has a positive message.  So who is dividing the left?
1	The only thing the Democrats have is lying and stalling to stop Trump from being #President.  What have they done for you lately. #Trump #Kavanaugh #MAGA #DEMSUCK
1	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER You are not very smart are you? Why do you think Gen Flynn’s sentencing keeps being rescheduled? URL
1	@USER @USER @USER That's expected if you placate the violent leftists/terrorists. #KavanaughConfirmation #woke
1	4 out of 10 British people are basically full-on racists. 4 out of 10 voters vote for the Conservatives. Coincidence!???!???
1	@USER Fuck off
1	@USER @USER The prison system is so fucked.  Why are they still getting away with what is potentially murder with intent if the prisoners die in the hurricane? They did this in Louisiana and like 500 inmates went missing''
1	@USER @USER She is useless.  Attempts to do the right thing but never follows through.
1	@USER Grateful Trump doesn’t have a dog in the White House. He is a cruel man.
1	@USER Trump kicks dem butt - its so fun.
1	@USER @USER @USER He is dumb and dumber all in one president.  It's a two for one.
1	@USER And this from the clown that should be in prison?
1	@USER Thats because you are an old man.
1	@USER @USER @USER They are obstructionists. Anti-american. Pharisees. Ask them what they are running on and you get nothing. Maga!
1	@USER I mean it worked for gun control right? URL
1	@USER She is drinking so much koolaid she’s bloated.
1	@USER @USER @USER @USER The Institution only let her tweet when she behaves. She is a Window Licker!!!!
1	WTC This is a threat!!! ..@USER #Maga #QAnon #WakeUpAmerica URL
1	@USER @USER @USER Please call trump out for what he is...a NARCISSISTIC SOCIOPATH!
1	@USER Fuck em
1	@USER Good move....he is the big loser
0	@USER it's literally a narrative that is on par with Nazis punch, antifa punch, they are two sides of the same coin.' noooOOoOo one of these groups wants to exterminate or deport all PoC and Jews, the other just wants to prevent them from doing that, and this comparison benefits fash'
1	@USER @USER There are many dumb arguments for gun control but this may be the dumbest and most common.
1	@USER @USER @USER please don't kill me. antifa on the other hand...
1	@USER @USER She is an ugly black hearted troll URL
0	@USER Dont believe the hype.
1	@USER @USER We have been saved from you! MAGA!
1	@USER You can probably imagine all the SJW snowflakes that don't feel safe' working where there might be conservatives lurking in the shadows.  Conservatives are now the Ruskies of the 21st century.'
1	@USER This all I get 😢 damn these haters deleting you IG for no reason... URL
1	@USER SJSHSJ THATS MY JOB BITCH
1	@USER @USER @USER What part of NO COLLUSION don't you get??? This is why you are a dumocrat
1	@USER if the reason for Farakans illegal values are because he is black or Muslim, that would be a reason to detest him. I believe his illegal values are simply a result of bad character, like his supporters!'
1	@USER Let the leftist democrats riot in the streets with their antifa counterparts.
1	@USER @USER ANTIFA is not giving death threats to professor Ford or threatening violence if their candidate loses or Spanky is impeached.
1	@USER So has the Law changed...you just make an allegation now days and your guilty until proven innocent. Liberals are mentally ill!
1	@USER This game sucks donkey balls
1	@USER Absolutely should be a nail in the coffin.... for Hilliary
1	@USER He is a DUMBASS !!!!!
1	@USER @USER @USER @USER @USER @USER @USER @USER @USER @USER @USER ...and #LeviStrauss wanting gun control How many of us wonder why the heck do they want our freedoms taken away ~ or is it just selective freedoms? URL
1	@USER At this point in time... I don't think Pres. Trump gives a sh*t... and neither do I! LOL URL
